time_stamp, average time, incremental time, search time,fov check time, total time, percentage of readd
294.789341,0.001015,0.000286,0.000000,70.000000,0.001015,0.000000
294.799328,0.000750,0.000084,0.000001,169.000000,0.000485,0.000000
294.809310,0.000692,0.000116,0.000000,195.000000,0.000575,0.000000
294.819291,0.000750,0.000190,0.000000,250.000000,0.000925,0.000000
294.829676,0.000743,0.000147,0.000000,317.000000,0.000717,0.000000
294.839651,0.000724,0.000104,0.000000,364.000000,0.000629,0.000000
294.849634,0.000720,0.000098,0.000000,385.000000,0.000694,0.000000
294.859615,0.000784,0.000433,0.000000,418.000000,0.001232,0.000000
294.869597,0.000793,0.000197,0.000000,545.000000,0.000864,0.000000
294.879579,0.000815,0.000276,0.000000,577.000000,0.001013,0.000000
294.889558,0.000804,0.000127,0.000000,652.000000,0.000691,0.000000
294.899541,0.000790,0.000082,0.000000,694.000000,0.000644,0.000000
294.909524,0.000797,0.000223,0.000000,703.000000,0.000876,0.000000
294.919509,0.000802,0.000151,0.000000,770.000000,0.000866,0.000000
294.929493,0.000797,0.000191,0.000000,801.000000,0.000737,0.000000
294.939478,0.000785,0.000106,0.000000,856.000000,0.000593,0.000000
294.949464,0.000782,0.000091,0.000000,879.000000,0.000742,0.000000
294.959445,0.000831,0.000512,0.000000,907.000000,0.001654,0.000000
294.969431,0.000849,0.000251,0.000000,1027.000000,0.001179,0.000000
294.979416,0.000871,0.000320,0.000000,1060.000000,0.001293,0.000000
294.989399,0.000869,0.000134,0.000000,1097.000000,0.000832,0.000000
294.999383,0.000862,0.000064,0.000000,1107.000000,0.000707,0.000000
295.009368,0.000863,0.000142,0.000000,1122.000000,0.000888,0.000000
295.019353,0.000856,0.000079,0.000000,1162.000000,0.000699,0.000000
295.029335,0.000846,0.000094,0.000000,1177.000000,0.000610,0.000000
295.039320,0.000846,0.000127,0.000000,1204.000000,0.000844,0.000000
295.049303,0.000839,0.000073,0.000000,1236.000000,0.000656,0.000000
295.059287,0.000831,0.000085,0.000000,1265.000000,0.000618,0.000000
295.069671,0.000825,0.000042,0.000000,1270.000000,0.000637,0.000000
295.079654,0.000838,0.000258,0.000000,1280.000000,0.001236,0.000000
295.089640,0.000841,0.000175,0.000000,1353.000000,0.000926,0.000000
295.099625,0.000847,0.000163,0.000000,1379.000000,0.001022,0.000000
295.109609,0.000844,0.000090,0.000000,1422.000000,0.000758,0.000000
295.119592,0.000839,0.000089,0.000000,1447.000000,0.000668,0.000000
295.129579,0.000843,0.000191,0.000000,1451.000000,0.000982,0.000000
295.139563,0.000845,0.000140,0.000000,1505.000000,0.000916,0.000000
